_id,name,description,price,originalPrice,category,brand,model,images,specifications,detailedSpecs,stock,isActive,featured,ratings,tags,weight,reviews,__v,createdAt,updatedAt
688aae48e2edcc24d22668c3,Intel Core Ultra 5 245K Processor,"The Intel Core Ultra 5 245K Processor is a high-performance CPU designed for modern computing needs. Featuring 14 cores and 4 threads, it operates at a base frequency of 4.2 GHz with a cache of 6 MB. Built on the 32 nm process, this processor supports up to None of memory, making it ideal for gaming, content creation, and heavy multitasking.",28990,,CPU,Intel,Core Ultra 5 245K Processor,"[{""url"":""https://www.pchouse.com.bd/image/cache/catalog/Intel/Intel-Core-Ultra-5-245K-Processor-1-600x500h.jpg.webp"",""alt"":""Intel Core Ultra 5 245K Processor"",""_id"":""688aae48e2edcc24d22668c4""}]","{""brand"":""Intel"",""model"":""Core Ultra 5 245K Processor"",""cores"":""14"",""baseFrequency"":""4.2 GHz"",""socket"":""LGA 1851"",""threads"":""4"",""cache"":""6 MB"",""tdp"":""95 W"",""architecture"":""Sandy Bridge"",""manufacturing"":""32 nm"",""integratedGraphics"":""None"",""generation"":""Sandy Bridge"",""boostFrequency"":""Up to 5.8 GHz"",""l1Cache"":""1 MB"",""l2Cache"":""8 MB"",""memorySupport"":null}","{""cpu"":{""cores"":""14"",""threads"":""4"",""baseClock"":""4.2 GHz"",""boostClock"":""Up to 5.8 GHz"",""socket"":""LGA 1851"",""tdp"":""95 W"",""l1Cache"":""1 MB"",""l2Cache"":""8 MB"",""l3Cache"":""6 MB"",""manufacturingProcess"":""32 nm"",""architecture"":""Sandy Bridge"",""integratedGraphics"":""None"",""memorySupport"":null}}",16,true,true,"{""average"":3.3377892358837142,""count"":63}","[""Intel"",""Core Ultra 5 245K Processor"",""Processors (CPUs)""]",,"[]",,2025-07-30T23:44:08.251Z,2025-07-30T23:44:08.251Z
688aae48e2edcc24d22668c9,"Intel Core Ultra 9 285K Processor (Series 2, Formerly Arrow Lake) - (Fan Not Included)","The Intel Core Ultra 9 285K Processor (Series 2, Formerly Arrow Lake) - (Fan Not Included) is a high-performance CPU designed for modern computing needs. Featuring 10 cores and 8 threads, it operates at a base frequency of 3.7 GHz with a cache of 16 MB. Built on the 14 nm process, this processor supports up to 128 GB of memory, making it ideal for gaming, content creation, and heavy multitasking.",28990,,CPU,Intel,"Core Ultra 9 285K Processor (Series 2, Formerly Arrow Lake) - (Fan Not Included)","[{""url"":""https://www.pchouse.com.bd/image/cache/catalog/Intel/download-(98)-min-600x500h.png.webp"",""alt"":""Intel Core Ultra 9 285K Processor (Series 2, Formerly Arrow Lake) - (Fan Not Included)"",""_id"":""688aae48e2edcc24d22668ca""}]","{""brand"":""Intel"",""model"":""Core Ultra 9 285K Processor (Series 2, Formerly Arrow Lake) - (Fan Not Included)"",""cores"":""10"",""baseFrequency"":""3.7 GHz"",""threads"":""8"",""cache"":""16 MB"",""tdp"":""125 W"",""architecture"":""Comet Lake"",""manufacturing"":""14 nm"",""integratedGraphics"":""Intel UHD Graphics 630"",""memorySupport"":""128 GB"",""generation"":""Comet Lake"",""boostFrequency"":""Up to 5.8 GHz"",""l1Cache"":""1 MB"",""l2Cache"":""8 MB"",""socket"":null}","{""cpu"":{""cores"":""10"",""threads"":""8"",""baseClock"":""3.7 GHz"",""boostClock"":""Up to 5.8 GHz"",""socket"":null,""tdp"":""125 W"",""l1Cache"":""1 MB"",""l2Cache"":""8 MB"",""l3Cache"":""16 MB"",""manufacturingProcess"":""14 nm"",""architecture"":""Comet Lake"",""integratedGraphics"":""Intel UHD Graphics 630"",""memorySupport"":""128 GB""}}",89,true,,"{""average"":3.2275576316940637,""count"":34}","[""Intel"",""Core Ultra 9 285K Processor (Series 2, Formerly Arrow Lake) - (Fan Not Included)"",""Processors (CPUs)""]",,"[]",,2025-07-30T23:44:08.252Z,2025-07-30T23:44:08.252Z
688aae48e2edcc24d22668bb,AMD Ryzen 9 9950X Gaming Processor,"The AMD Ryzen 9 9950X Gaming Processor is a high-performance CPU designed for modern computing needs. Featuring 16 cores and 32 threads, it operates at a base frequency of 5.7 GHz with a cache of 128 MB. Built on the 5 nm process, this processor supports up to 128 GB of memory, making it ideal for gaming, content creation, and heavy multitasking.",4890,,CPU,AMD,Ryzen 9 9950X Gaming Processor,"[{""url"":""https://www.pchouse.com.bd/image/cache/catalog/products_2024/9950x.jpg-1000x1000.jpg-600x500h.jpg.webp"",""alt"":""AMD Ryzen 9 9950X Gaming Processor"",""_id"":""688aae48e2edcc24d22668bc""}]","{""brand"":""AMD"",""model"":""Ryzen 9 9950X Gaming Processor"",""cores"":""16"",""threads"":""32"",""baseFrequency"":""5.7 GHz"",""cache"":""128 MB"",""tdp"":""120 W"",""architecture"":""Zen 4"",""manufacturing"":""5 nm"",""integratedGraphics"":""Radeon"",""memorySupport"":""128 GB"",""generation"":""Raphael"",""boostFrequency"":""Up to 5.8 GHz"",""l1Cache"":""1 MB"",""l2Cache"":""8 MB"",""socket"":null}","{""cpu"":{""cores"":""16"",""threads"":""32"",""baseClock"":""5.7 GHz"",""boostClock"":""Up to 5.8 GHz"",""socket"":null,""tdp"":""120 W"",""l1Cache"":""1 MB"",""l2Cache"":""8 MB"",""l3Cache"":""128 MB"",""manufacturingProcess"":""5 nm"",""architecture"":""Zen 4"",""integratedGraphics"":""Radeon"",""memorySupport"":""128 GB""}}",47,true,,"{""average"":3.306997017042198,""count"":38}","[""AMD"",""Ryzen 9 9950X Gaming Processor"",""Processors (CPUs)""]",,"[]",,2025-07-30T23:44:08.250Z,2025-07-30T23:44:08.250Z
688aae48e2edcc24d22668bf,AMD Ryzen 5 7600X3D Processor,"The AMD Ryzen 5 7600X3D Processor is a high-performance CPU designed for modern computing needs. Featuring 6 cores and 12 threads, it operates at a base frequency of 4.7 GHz with a cache of 96 MB. Built on the 7 nm process, this processor supports up to 128 GB of memory, making it ideal for gaming, content creation, and heavy multitasking.",7490,,CPU,AMD,Ryzen 5 7600X3D Processor,"[{""url"":""https://www.pchouse.com.bd/image/cache/catalog/AMD/AMD-Ryzen-5-7600X3D-600x500h.jpg.webp"",""alt"":""AMD Ryzen 5 7600X3D Processor"",""_id"":""688aae48e2edcc24d22668c0""}]","{""brand"":""AMD"",""model"":""Ryzen 5 7600X3D Processor"",""cores"":""6"",""threads"":""12"",""baseFrequency"":""4.7 GHz"",""socket"":""AM5"",""cache"":""96 MB"",""tdp"":""105 W"",""architecture"":""Zen 3"",""manufacturing"":""7 nm"",""integratedGraphics"":""None"",""memorySupport"":""128 GB"",""generation"":""Vermeer-X"",""boostFrequency"":""Up to 5.8 GHz"",""l1Cache"":""1 MB"",""l2Cache"":null}","{""cpu"":{""cores"":""6"",""threads"":""12"",""baseClock"":""4.7 GHz"",""boostClock"":""Up to 5.8 GHz"",""socket"":""AM5"",""tdp"":""105 W"",""l1Cache"":""1 MB"",""l2Cache"":null,""l3Cache"":""96 MB"",""manufacturingProcess"":""7 nm"",""architecture"":""Zen 3"",""integratedGraphics"":""None"",""memorySupport"":""128 GB""}}",40,true,,"{""average"":3.523255701178136,""count"":90}","[""AMD"",""Ryzen 5 7600X3D Processor"",""Processors (CPUs)""]",,"[]",,2025-07-30T23:44:08.251Z,2025-07-30T23:44:08.251Z
688aae48e2edcc24d22668c1,AMD Ryzen 9 9900X Gaming Processor,"The AMD Ryzen 9 9900X Gaming Processor is a high-performance CPU designed for modern computing needs. Featuring 12 cores and 24 threads, it operates at a base frequency of 4.4 GHz with a cache of 64 MB. Built on the 5 nm process, this processor supports up to 128 GB of memory, making it ideal for gaming, content creation, and heavy multitasking.",4890,,CPU,AMD,Ryzen 9 9900X Gaming Processor,"[{""url"":""https://www.pchouse.com.bd/image/cache/catalog/AMD/9950x.jpg-1000x1000.jpg-(1)-600x500h.jpg.webp"",""alt"":""AMD Ryzen 9 9900X Gaming Processor"",""_id"":""688aae48e2edcc24d22668c2""}]","{""brand"":""AMD"",""model"":""Ryzen 9 9900X Gaming Processor"",""cores"":""12"",""threads"":""24"",""baseFrequency"":""4.4 GHz"",""socket"":""AM5"",""cache"":""64 MB"",""tdp"":""170 W"",""architecture"":""Zen 4"",""manufacturing"":""5 nm"",""integratedGraphics"":""Radeon"",""memorySupport"":""128 GB"",""generation"":""Raphael"",""boostFrequency"":""Up to 5.8 GHz"",""l1Cache"":""1 MB"",""l2Cache"":null}","{""cpu"":{""cores"":""12"",""threads"":""24"",""baseClock"":""4.4 GHz"",""boostClock"":""Up to 5.8 GHz"",""socket"":""AM5"",""tdp"":""170 W"",""l1Cache"":""1 MB"",""l2Cache"":null,""l3Cache"":""64 MB"",""manufacturingProcess"":""5 nm"",""architecture"":""Zen 4"",""integratedGraphics"":""Radeon"",""memorySupport"":""128 GB""}}",67,true,,"{""average"":4.389792912534631,""count"":7}","[""AMD"",""Ryzen 9 9900X Gaming Processor"",""Processors (CPUs)""]",,"[]",,2025-07-30T23:44:08.251Z,2025-07-30T23:44:08.251Z
688aae48e2edcc24d22668c7,AMD Ryzen 7 9700X AM5 Desktop Gaming Processor,"The AMD Ryzen 7 9700X AM5 Desktop Gaming Processor is a high-performance CPU designed for modern computing needs. Featuring 8 cores and 16 threads, it operates at a base frequency of 3.8 GHz with a cache of 96 MB. Built on the 7 nm process, this processor supports up to 128 GB of memory, making it ideal for gaming, content creation, and heavy multitasking.",7490,,CPU,AMD,Ryzen 7 9700X AM5 Desktop Gaming Processor,"[{""url"":""https://www.pchouse.com.bd/image/cache/catalog/products_2024/9700x.jpg-550x550.jpg-600x500h.jpg.webp"",""alt"":""AMD Ryzen 7 9700X AM5 Desktop Gaming Processor"",""_id"":""688aae48e2edcc24d22668c8""}]","{""brand"":""AMD"",""model"":""Ryzen 7 9700X AM5 Desktop Gaming Processor"",""cores"":""8"",""threads"":""16"",""baseFrequency"":""3.8 GHz"",""socket"":""AM5"",""cache"":""96 MB"",""tdp"":""105 W"",""architecture"":""Zen 3"",""manufacturing"":""7 nm"",""integratedGraphics"":""None"",""memorySupport"":""128 GB"",""generation"":""Vermeer-X"",""boostFrequency"":""Up to 5.8 GHz"",""l1Cache"":""1 MB"",""l2Cache"":null}","{""cpu"":{""cores"":""8"",""threads"":""16"",""baseClock"":""3.8 GHz"",""boostClock"":""Up to 5.8 GHz"",""socket"":""AM5"",""tdp"":""105 W"",""l1Cache"":""1 MB"",""l2Cache"":null,""l3Cache"":""96 MB"",""manufacturingProcess"":""7 nm"",""architecture"":""Zen 3"",""integratedGraphics"":""None"",""memorySupport"":""128 GB""}}",18,true,,"{""average"":4.263573466461988,""count"":33}","[""AMD"",""Ryzen 7 9700X AM5 Desktop Gaming Processor"",""Processors (CPUs)""]",,"[]",,2025-07-30T23:44:08.252Z,2025-07-30T23:44:08.252Z
688aae48e2edcc24d22668cd,AMD Ryzen 5 9600X Gaming Processor,"The AMD Ryzen 5 9600X Gaming Processor is a high-performance CPU designed for modern computing needs. Featuring 6 cores and 12 threads, it operates at a base frequency of 3.9 GHz with a cache of 32 MB. Built on the 5 nm process, this processor supports up to 128 GB of memory, making it ideal for gaming, content creation, and heavy multitasking.",7490,,CPU,AMD,Ryzen 5 9600X Gaming Processor,"[{""url"":""https://www.pchouse.com.bd/image/cache/catalog/AMD/9600x.jpg-550x550.jpg-1-600x500h.jpg.webp"",""alt"":""AMD Ryzen 5 9600X Gaming Processor"",""_id"":""688aae48e2edcc24d22668ce""}]","{""brand"":""AMD"",""model"":""Ryzen 5 9600X Gaming Processor"",""cores"":""6"",""threads"":""12"",""baseFrequency"":""3.9 GHz"",""cache"":""32 MB"",""tdp"":""105 W"",""architecture"":""Zen 4"",""manufacturing"":""5 nm"",""integratedGraphics"":""Radeon"",""memorySupport"":""128 GB"",""generation"":""Raphael"",""boostFrequency"":""Up to 5.8 GHz"",""l1Cache"":""1 MB"",""l2Cache"":""8 MB"",""socket"":null}","{""cpu"":{""cores"":""6"",""threads"":""12"",""baseClock"":""3.9 GHz"",""boostClock"":""Up to 5.8 GHz"",""socket"":null,""tdp"":""105 W"",""l1Cache"":""1 MB"",""l2Cache"":""8 MB"",""l3Cache"":""32 MB"",""manufacturingProcess"":""5 nm"",""architecture"":""Zen 4"",""integratedGraphics"":""Radeon"",""memorySupport"":""128 GB""}}",6,true,true,"{""average"":4.891376414697385,""count"":62}","[""AMD"",""Ryzen 5 9600X Gaming Processor"",""Processors (CPUs)""]",,"[]",,2025-07-30T23:44:08.252Z,2025-07-30T23:44:08.252Z
688aae48e2edcc24d22668bd,AMD Athlon PRO 300GE AM4 Socket Desktop Processor with Radeon Vega 3 Graphics,"The AMD Athlon PRO 300GE AM4 Socket Desktop Processor with Radeon Vega 3 Graphics is a high-performance CPU designed for modern computing needs. Featuring 64 cores and 64 threads, it operates at a base frequency of 3.4 GHz with a cache of 256 MB. Built on the 7 nm process, this processor supports up to 1024 GB of memory, making it ideal for gaming, content creation, and heavy multitasking.",7490,,CPU,AMD,Athlon PRO 300GE AM4 Socket Desktop Processor with Radeon Vega 3 Graphics,"[{""url"":""https://www.pchouse.com.bd/image/cache/catalog/AMD/athlon-pro-300ge-500x500-min-600x500h.png.webp"",""alt"":""AMD Athlon PRO 300GE AM4 Socket Desktop Processor with Radeon Vega 3 Graphics"",""_id"":""688aae48e2edcc24d22668be""}]","{""brand"":""AMD"",""model"":""Athlon PRO 300GE AM4 Socket Desktop Processor with Radeon Vega 3 Graphics"",""baseFrequency"":""3.4 GHz"",""socket"":""AM4"",""cores"":""64"",""threads"":""64"",""cache"":""256 MB"",""tdp"":""280 W"",""architecture"":""Zen 2"",""manufacturing"":""7 nm"",""integratedGraphics"":""None"",""memorySupport"":""1024 GB"",""generation"":""Castle Peak"",""boostFrequency"":""Up to 5.8 GHz"",""l1Cache"":""1 MB"",""l2Cache"":null}","{""cpu"":{""cores"":""64"",""threads"":""64"",""baseClock"":""3.4 GHz"",""boostClock"":""Up to 5.8 GHz"",""socket"":""AM4"",""tdp"":""280 W"",""l1Cache"":""1 MB"",""l2Cache"":null,""l3Cache"":""256 MB"",""manufacturingProcess"":""7 nm"",""architecture"":""Zen 2"",""integratedGraphics"":""None"",""memorySupport"":""1024 GB""}}",30,true,,"{""average"":4.1446201308622985,""count"":25}","[""AMD"",""Athlon PRO 300GE AM4 Socket Desktop Processor with Radeon Vega 3 Graphics"",""Processors (CPUs)""]",,"[]",,2025-07-30T23:44:08.251Z,2025-07-30T23:44:08.251Z
688aae48e2edcc24d22668c5,AMD Ryzen 7 9800X3D Gaming Processor,"The AMD Ryzen 7 9800X3D Gaming Processor is a high-performance CPU designed for modern computing needs. Featuring 5 cores and 16 threads, it operates at a base frequency of 4.7 GHz with a cache of 96 MB. Built on the 5 nm process, this processor supports up to 128 GB of memory, making it ideal for gaming, content creation, and heavy multitasking.",7490,,CPU,AMD,Ryzen 7 9800X3D Gaming Processor,"[{""url"":""https://www.pchouse.com.bd/image/cache/catalog/AMD/AMD-Ryzen-7-9800X3D-Gaming-Processor-600x500h.jpg.webp"",""alt"":""AMD Ryzen 7 9800X3D Gaming Processor"",""_id"":""688aae48e2edcc24d22668c6""}]","{""brand"":""AMD"",""model"":""Ryzen 7 9800X3D Gaming Processor"",""cores"":""5"",""threads"":""16"",""baseFrequency"":""4.7 GHz"",""socket"":""AM5"",""cache"":""96 MB"",""tdp"":""120 W"",""architecture"":""Zen 4"",""manufacturing"":""5 nm"",""integratedGraphics"":""Radeon"",""memorySupport"":""128 GB"",""generation"":""Raphael"",""boostFrequency"":""Up to 5.8 GHz"",""l1Cache"":""1 MB"",""l2Cache"":null}","{""cpu"":{""cores"":""5"",""threads"":""16"",""baseClock"":""4.7 GHz"",""boostClock"":""Up to 5.8 GHz"",""socket"":""AM5"",""tdp"":""120 W"",""l1Cache"":""1 MB"",""l2Cache"":null,""l3Cache"":""96 MB"",""manufacturingProcess"":""5 nm"",""architecture"":""Zen 4"",""integratedGraphics"":""Radeon"",""memorySupport"":""128 GB""}}",52,true,true,"{""average"":4.402885900749114,""count"":49}","[""AMD"",""Ryzen 7 9800X3D Gaming Processor"",""Processors (CPUs)""]",,"[]",,2025-07-30T23:44:08.251Z,2025-07-30T23:44:08.251Z
688aae48e2edcc24d22668cb,AMD Ryzen 9 9900X3D Gaming Processor,"The AMD Ryzen 9 9900X3D Gaming Processor is a high-performance CPU designed for modern computing needs. Featuring 12 cores and 24 threads, it operates at a base frequency of 4.4 GHz with a cache of 128 MB. Built on the 5 nm process, this processor supports up to 128 GB of memory, making it ideal for gaming, content creation, and heavy multitasking.",7490,,CPU,AMD,Ryzen 9 9900X3D Gaming Processor,"[{""url"":""https://www.pchouse.com.bd/image/cache/catalog/AMD/AMD-Ryzen-9-9900X3D-600x500h.jpg.webp"",""alt"":""AMD Ryzen 9 9900X3D Gaming Processor"",""_id"":""688aae48e2edcc24d22668cc""}]","{""brand"":""AMD"",""model"":""Ryzen 9 9900X3D Gaming Processor"",""cores"":""12"",""threads"":""24"",""baseFrequency"":""4.4 GHz"",""socket"":""AM5"",""cache"":""128 MB"",""tdp"":""120 W"",""architecture"":""Zen 4"",""manufacturing"":""5 nm"",""integratedGraphics"":""Radeon"",""memorySupport"":""128 GB"",""generation"":""Raphael"",""boostFrequency"":""Up to 5.8 GHz"",""l1Cache"":""1 MB"",""l2Cache"":null}","{""cpu"":{""cores"":""12"",""threads"":""24"",""baseClock"":""4.4 GHz"",""boostClock"":""Up to 5.8 GHz"",""socket"":""AM5"",""tdp"":""120 W"",""l1Cache"":""1 MB"",""l2Cache"":null,""l3Cache"":""128 MB"",""manufacturingProcess"":""5 nm"",""architecture"":""Zen 4"",""integratedGraphics"":""Radeon"",""memorySupport"":""128 GB""}}",52,true,,"{""average"":3.163575063276638,""count"":16}","[""AMD"",""Ryzen 9 9900X3D Gaming Processor"",""Processors (CPUs)""]",,"[]",,2025-07-30T23:44:08.252Z,2025-07-30T23:44:08.252Z
